Age,Gender,Education Level,How often do you engage in social activities?,How satisfied are you with your current social relationships?,Do you feel supported by your peers and family?,How would you rate your overall physical health?,Do you have any chronic physical health conditions?,How often do you engage in physical exercise?,How often do you feel stressed or overwhelmed?,Have you ever sought help for mental health issues?,"If yes, how often?",How would you rate your overall mental well-being?,Have you experienced significant stress or anxiety in the past month?,Do you have access to mental health resources?,Rate the level of mental health support at your institution.,How do you usually cope with stressful situations?,Do you feel confident in handling emotional challenges?,How often do you feel hopeful about the future?,Rate your ability to recover from emotional challenges.,Do you feel emotionally supported by your peers and faculty?,Do you feel your coursework is manageable? ,How do you perceive your academic performance?,Does your mental and physical health affect your studies?,What support do you think would improve your academic success?,How satisfied are you with your academic experience? ,How would you rate the quality of teaching at your institution?,What improvements would you suggest for student well-being services?,Additional comments or feedback
18-24,Female,Undergraduate,Weekly,4,Yes,8,No,Daily,4,Yes,5,8,Yes,Yes,2,Exercise ,Yes,7,4,Yes,Yes,Acceptable ,Yes,Emotional and financial support,4,3,,
18-24,Female,Undergraduate,Weekly,3,No,7,No,Rarely,3,Yes,1,6,Yes,Yes,1,.,Yes,5,3,Yes,Yes,.,Yes,.,1,2,,
18-24,Female,Undergraduate,Weekly,4,Yes,7,No,Rarely,3,No,,6,No,Yes,3,cry?,No,5,4,No,Yes,fine,Yes,better teaching conditions ,3,2,,
18-24,Male,Undergraduate,Weekly,5,Yes,9,No,Daily,2,No,,10,No,No,1,I don't care about it when i'm up to something,Yes,10,5,Yes,Yes,I'm dealing with it so smoothly without worries,Yes,Better academic conditions,4,3,Teachers with a great knowledge in pedagogy and more practice.,Good luck.
18-24,Female,Graduate,Weekly,4,Yes,7,No,Monthly,3,No,,10,Yes,No,1,Sleep is my escape,Yes,8,3,Yes,Yes,Good,Yes,Reducing study hours,3,3,,
18-24,Female,Undergraduate,Weekly,2,Yes,7,No,Weekly,4,Yes,3,5,Yes,Yes,2,self talk,Yes,9,4,No,No,bad and not enjoyable ,Yes,emotional,2,2,they can do campaigns ,
18-24,Female,Undergraduate,Daily,4,Yes,8,No,Weekly,1,No,,9,Yes,Yes,1,.,Yes,8,4,No,No,.,Yes,.,3,3,,
18-24,Female,Undergraduate,Monthly,3,Yes,4,No,Rarely,4,No,,4,Yes,No,2,sleep ,No,7,4,No,Yes,  ,Yes,  ,4,3,,
18-24,Male,Undergraduate,Weekly,5,Yes,8,No,Daily,1,No,,9,No,No,3,By relaxing ang going to gym,Yes,8,5,Yes,No,Good,No,Friends and family,4,3,,
18-24,Male,Undergraduate,Weekly,4,Yes,9,No,Weekly,1,No,,10,No,Yes,3,I realize that stressing about the situation is only gonna worsen the end game and that i'm gonna get over it now or later so better get over it now,Yes,10,5,Yes,Yes,"I've always excelled without needing to study particularly hard , but that stopped working in college so most my grades are average , now that i realized that tho i hope i start taking things more seriously",No,"I think it's natural to be distracted from your studies if you constantly have problems on your mind , and no amount of support can make these problems go away other than the will to only worry about what you can change and focus on the future",4,4,Make information more accessible. I'm in my third year and i only now realized than there's a psychologist at our university. It feels like every piece of information a student might need is hidden behind layers and layers of bad website design for instance ,
18-24,Male,Undergraduate,Daily,4,No,9,No,Weekly,2,No,,8,Yes,No,3,"Breath slowly, remain calm and think lf a solution",Yes,9,4,Yes,No,I think the professors do not have the pedagogy to teach and pass the information clearly,Yes,May be the state of the faculty and the environment of study ,3,2,May be rely more on yourself and improve yourself step by step without any hope from the faculty or university build your own way to success ,Thankss for the experience i feel relieved now 
18-24,Female,Undergraduate,Rarely,3,Yes,8,No,Monthly,4,No,,6,Yes,Yes,4,Pray and Quran,Yes,9,4,No,Yes,Not bad,Yes,My family support 🤷‍♀️,4,4,,
18-24,Male,Undergraduate,Daily,3,Yes,7,No,Rarely,5,Yes,7,5,Yes,No,1,Eating,Yes,10,5,No,No,Weekly,Yes,Sleeping,3,4,,
18-24,Male,Undergraduate,Monthly,5,Yes,9,No,Weekly,5,No,,5,Yes,No,1,i don't,Yes,8,4,Yes,Yes,average,Yes,"when the college administration takes a moment and thinks about the students mental health , though i know it wont happen",3,2,,
18-24,Female,Undergraduate,Daily,5,Yes,5,Yes,Rarely,5,Yes,3,4,Yes,No,1,I don't because the reasons are always related to university or studies so time heals everything ,Yes,6,4,Yes,No,I'm satisfied with my performance even though it doesn't always give good results  ,Studies affect my mental and physical health ,Changing the system would improve everybody's academic success ,2,1,"Working on improving the quality of education , updating the informations given , ..",Nothing
18-24,Female,Undergraduate,Weekly,3,Yes,7,No,Daily,4,No,,7,Yes,No,1,I draw or sleep.,No,7,4,No,Yes,Above average. ,Yes,Mental support for sure to reduce my stress and anxiety. ,3,1,,
18-24,Female,Undergraduate,Weekly,4,Yes,9,No,Daily,3,No,,7,Yes,Yes,2,idk,No,8,4,No,No,idk,Yes,l'atmosphere a la fac ,2,3,,
18-24,Male,Undergraduate,Monthly,4,Yes,7,Yes,Weekly,4,No,,7,Yes,No,3,Engage in physical exercises,Yes,8,4,No,Yes,Idk ,Yes,....,3,3,,
18-24,Male,Graduate,Weekly,5,Yes,5,Yes,Rarely,3,Yes,1,6,No,No,1,thinking in a positive way ,Yes,8,3,No,No,trying to do my best,Yes,motivation ,4,3,project based studies,always keep positive thinking
18-24,Female,Undergraduate,Rarely,2,Yes,6,No,Rarely,5,Yes,1,1,Yes,No,1,Listen to podcasts about it .. to cure myself coz i dnt have access to ressources at the moment ,No,5,3,No,No,I can do way better if i was mentally stable ,Yes,Getting therapy and stopping for a lil bit to just look around and think about what i really wanna do with my future .. find something im passionate about,1,1,,
18-24,Male,Undergraduate,Daily,5,Yes,6,No,Weekly,2,Yes,4,8,No,Yes,1,I practice my hobbies or I stay by my self and ITry to organize my thoughts ,Yes,10,4,Yes,Yes,Good,Sometimes ,More practical courses ,4,3,,
18-24,Male,Undergraduate,Monthly,3,Yes,8,No,Weekly,1,No,,8,No,Yes,3,I try to not let my thoughts take advantage of me,Yes,6,3,No,Yes,I think that i am performing in a good way,No,Emotional one,3,3,,
18-24,Male,Undergraduate,Monthly,4,No,8,No,Daily,3,No,,8,No,No,1,Journaling mostly. ,Yes,7,5,No,No,It believe I perform relatively well,Yes,Emotional support generally from family & peers,3,4,"Mental health services especially available in the institution (Psychiatrists, therapists if possible). ",
18-24,Male,Undergraduate,Daily,2,No,6,No,Rarely,4,Yes,6,6,Yes,Yes,3,Sleeping,Yes,9,5,Yes,Yes,No answer,Yes,Books,3,3,,
18-24,Male,Undergraduate,Weekly,4,Yes,9,No,Monthly,4,No,,8,No,No,1,"video games, chat with friends, procrastinate",Yes,9,4,Yes,Yes,average,Yes,therapy sessions,4,3,,
18-24,Female,Undergraduate,Weekly,5,Yes,3,Yes,Rarely,5,Yes,4,4,Yes,No,1,Organizing my mind ,Yes,4,1,No,Yes,Good,Sometimes,Good environment ,4,3,,
18-24,Female,Undergraduate,Rarely,3,Yes,7,No,Monthly,4,No,,7,No,No,1,"Deep breathing, organizing tasks, and taking short breaks for relaxation ",Yes,6,4,No,Yes,.,Yes,I think having study groups would greatly enhance my academic success,3,2,,
18-24,Female,Undergraduate,Monthly,4,Yes,5,No,Monthly,2,No,,7,Yes,No,3,"Take a lil break and make time to unwind 
",Yes,8,4,Yes,Yes,Too good,Yes,"I just feel I'm myself first supporter
Its always depends on me...I think that people's support doesn't have any effects in I'm down",4,4,,
18-24,Male,Undergraduate,Daily,4,Yes,8,No,Daily,2,No,,7,No,No,1,I just take it easy because i am cold blooded,Yes,8,4,Yes,No,Quiet good,No,Teachers should attend classes because we feel that they are not taking really of us,3,2,I recommande them to stay focus on studies and to take every situation as easy as they can because now the problems that we face them at this age are really nothing compared to the problems that occur in the professional life. Just stay calme and enjoy the student life and may god bless you all,
18-24,Female,Undergraduate,Monthly,4,Yes,9,No,Rarely,4,No,,7,Yes,Yes,2,watching cats vid,Yes,7,4,Yes,Yes,not bad,Yes,encourage someone,4,3,provide a psychiatrist ,
25-30,Female,Graduate,Weekly,3,Yes,8,No,Weekly,3,No,,6,No,No,3,Sport,Yes,7,3,Yes,No,Medium,No,More clubs,4,4,,
18-24,Female,Undergraduate,Weekly,3,Yes,5,No,Weekly,5,Yes,4,7,Yes,No,2,Breathing exercises ,Yes,2,3,No,No,Medium ,Yes,If I had much more time for relaxation and not having exams ,3,4,,
18-24,Female,Undergraduate,Rarely,2,Yes,4,No,Rarely,5,Yes,2,3,Yes,No,1,"Avoiding, postponing ",No,3,2,No,No,Mid,Yes,I think it starts within me,2,4,,
18-24,Female,Undergraduate,Weekly,3,Yes,6,Yes,Rarely,5,Yes,4,6,Yes,No,1,"Nothing, i just keep being stressed until I'm not stressed anymore ",No,5,4,No,Yes,Below average ,Yes,I just need motivation ,1,3,Raise awareness and provide free sessions with mental health professionals because they are not affordable for most of students ,
18-24,Female,College ,Weekly,3,Yes,4,No,Monthly,5,Yes,7,2,Yes,No,1,With depression anxiety and crying myself to sleep,No,7,3,Yes,Yes,Not bad ,Yes,Psychologist's support ,2,2,If i had some suggests i would've helped myself 🙂,It was too long please make it shorter in the next time and the previous page have a question repeated 
18-24,Female,Undergraduate,Monthly,1,No,7,No,Monthly,5,Yes,1,2,Yes,No,1,"I tend to cope with stress by isolating myself I’m not really an expressive person so i isolate myself and cry when I have a bad day and I’ve had so many bad days lately, I’ve recently found myself isolating more often, I always feel invisible, not loved,  i don’t say anything to anyone about it and I prefer not burdening others with my struggles , unfortunately, I don't have friends to share my stressful situations with
even in university, class , clubs .. It seems like people are not interested in talking to me, as they're usually with others
It leaves me with a sense of isolation and disconnection in those situations
I find myself listening to their conversations and laughter, but the feeling of not being part of it eventually leads me to leave 
Even when I try to talk, no one listens That's why I feel invisible",No,3,2,No,No,"I find my academic performance challenging due to the demanding schedule, which includes charged courses throughout 6 days a week, including Wednesday afternoons
don't get much time to rest, and there's a lot of stuff to study in a short time and a lot of projects
It's kind of hard for me",Yes,"Having a private place to talk about problems and support students during tough times
Minimize scheduled study time",2,4,"Having more help for stress and time management. Workshops and talks about these things would be useful
Having a private place to talk about problems and more counseling options would also be good to support students during tough times
Making sure students know about these services is important too
I suggest creating a mobile platform or app free for students to talk and have consultations with psychologists
Personally, I can't afford to see a psychologist, and even the university psychologist isn't available
I suggest organizing university hikes",I look forward to bringing back the psychologist to our university
18-24,Female,Undergraduate,Weekly,5,Yes,7,No,Monthly,3,No,,8,Yes,No,3,Try to keep calm,Yes,7,4,Yes,Yes,Very good,No,Social support ,5,4,Mental support and more clubs actuvities,We would like to have more opportunities for students in our faculty 
18-24,Female,1 ere année PM,Monthly,3,Yes,1,No,Weekly,2,No,,2,Yes,No,1,I have the ability to endure and overcome,Yes,10,5,Yes,Yes,Education ,No,Family ,4,1,There must be cultural or sporting activities,
18-24,Male,Undergraduate,Weekly,2,Yes,6,No,Rarely,4,Yes,1,7,Yes,No,1,Only unhealthy coping mechanisms such as drugs,No,7,2,No,Yes,"Lazy, mostly missing ",Yes,Me,3,2,A solid therapist ,Some questions aren't that accurate makes it hard to choose an answer
18-24,Female,Undergraduate,Daily,4,Yes,8,No,Weekly,3,No,,7,Yes,Yes,1,I usually try to calm myself down,Yes,8,2,No,Yes,I'd say my academic performance is top-notch—I've got a virtual library of knowledge up in here,Yes,Emotional and financial support,4,3,Mental support,
18-24,Female,Undergraduate,Monthly,4,Yes,6,No,Rarely,5,No,,7,Yes,Yes,2,"I take a deep breath , i concentrate and i take it as situations that will pass ",Yes,8,4,Yes,Yes,Not good enough ,No,Mental health ,2,2,More of practical workshops ,
18-24,Female,High School,Daily,5,Yes,8,No,Rarely,2,No,,8,No,No,4,By stop thinking and doing anything else,Yes,7,4,Yes,Yes,I'm satisfied,No,Maby financial,4,2,"Stress and Time management workshops 
And sometimes WE need to provide a doctor for them",
18-24,Male,Undergraduate,Weekly,4,Yes,7,No,Daily,4,No,,6,Yes,No,2,Practice sports ,Yes,8,3,No,Yes,I wanted to be up to date so as not to suffer during the exam period,Yes,Very bad,3,2,,
18-24,Male,High School,Rarely,3,Yes,8,No,Weekly,2,No,,7,No,No,3,pray .,Yes,2,4,No,Yes,study everyday?,No,studying 🤓,3,4,,
